ID,Word,Japanese Meaning,Before Example,Before Example JP,After UX Example,After UX Example JP,Status,Notes
2084,intervene,介入する,Policymakers must intervene the social consequences of rapid automation in manufacturing.,政策立案者は製造業における急速な自動化の社会的影響に対処しなければならない。,"The UX designer used the term ""intervene"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「intervene」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2085,threshold,閾値；境界,The consequences of inadequate threshold are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the threshold in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する閾値、境界を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2086,versus,対；に対して,Access to versus remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,The UX designer documented the versus in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する対、に対してを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2087,habitat,生息地；生息環境,Effective management of habitat is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the habitat in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する生息地、生息環境を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2088,aviation,航空；飛行,Effective management of aviation is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the aviation in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する航空、飛行を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2089,freight,貨物；運送,Investment in freight is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer documented the freight in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する貨物、運送を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2091,warehouse,倉庫,"Without adequate warehouse, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,The UX designer documented the warehouse in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する倉庫を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2092,rhetoric,修辞学；弁論術,The evidence gathered in the study was rhetoric and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer documented the rhetoric in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する修辞学、弁論術を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2093,literacy,識字率；リテラシー,The consequences of inadequate literacy are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the literacy in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する識字率、リテラシーを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2094,riot,暴動；騒乱,"The debate over riot continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the riot in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する暴動、騒乱を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2095,embrace,を抱きしめる；受け入れる,Effective management of embrace is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,"The UX designer used the term ""embrace"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「embrace」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2096,brochure,パンフレット,The report identifies brochure as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,The UX designer documented the brochure in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関するパンフレットを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2097,fringe,ふちどり；周辺；変わった,Effective management of fringe is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the fringe in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関するふちどり、周辺、変わったを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2098,texture,質感；組織,A marked rise in texture has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the texture in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する質感、組織を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2099,supposedly,おそらく；推定上は,The researchers supposedly acknowledged the limitations arising from the restricted sample size.,研究者たちはサンプルサイズの制限から生じる限界を正直に認めた。,"The UX designer used the term ""supposedly"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「supposedly」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2100,clarify,明確にする；説明する,International organisations work together to clarify cooperation on climate adaptation.,国際機関は気候変動への適応に関する協力体制構築に向けて取り組んでいる。,"The UX designer used the term ""clarify"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「clarify」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2101,hemisphere,半球；半球体,Researchers emphasise the growing significance of hemisphere in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,The UX designer documented the hemisphere in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する半球、半球体を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2102,clerical,事務的な；聖職者の,The economic consequences of the policy change were clerical across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer wrote a clerical note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「事務的な、聖職者の」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2103,predecessor,前任者；先行するもの,The consequences of inadequate predecessor are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""predecessor"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「predecessor」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2104,municipal,市の；地方自治体の,Researchers concluded that the initial findings were municipal and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer documented the municipal in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する市の、地方自治体のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2105,velocity,速度；速さ,Improving velocity has become a central objective of international development organisations.,向上させることが国際開発機関の中心的な目標となっている。,The UX designer documented the velocity in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する速度、速さを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2106,pottery,陶器；陶芸,The consequences of inadequate pottery are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the pottery in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する陶器、陶芸を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2107,reinforce,強化する,Experts are attempting to reinforce the root causes of persistent socioeconomic inequality.,専門家たちは根深い社会経済的不平等の根本原因の解明を試みている。,"The UX designer used the term ""reinforce"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「reinforce」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2108,pro,専門家；賛成して,A marked rise in pro has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the pro in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する専門家、賛成してを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2109,strand,漂着させる；ひも,Educators strive to strand critical thinking and digital literacy across all age groups.,教育者たちは全ての年齢層で批判的思考力とデジタルリテラシーの育成に努めている。,"The UX designer used the term ""strand"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「strand」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2111,trigger,を引き起こす；引き金,Trigger is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,"The UX designer used the term ""trigger"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「trigger」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2113,shaft,軸；シャフト；光線,Researchers emphasise the growing significance of shaft in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,The UX designer documented the shaft in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する軸、シャフト、光線を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2114,reliance,依存；頼ること,Greater public awareness of reliance is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the reliance in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する依存、頼ることを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2115,complement,補完する；補足,Researchers collaborated internationally to complement a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""complement"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「complement」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2116,advocate,支持する；擁護者,Technologists are working to advocate the efficiency and affordability of solar energy storage.,技術者たちは太陽エネルギー貯蔵の効率と費用対効果の向上に取り組んでいる。,"The UX designer used the term ""advocate"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「advocate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2117,gauge,計器；を測る,Investment in gauge is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,"The UX designer used the term ""gauge"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「gauge」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2118,hazard,危険；を危険にさらす,The report identifies hazard as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,"The UX designer used the term ""hazard"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「hazard」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2119,subordinate,従属させる,Educators strive to subordinate critical thinking and digital literacy across all age groups.,教育者たちは全ての年齢層で批判的思考力とデジタルリテラシーの育成に努めている。,"The UX designer used the term ""subordinate"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「subordinate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2120,fragile,壊れやすい；脆弱な,Researchers emphasise the growing significance of fragile in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,"The UX designer used the term ""fragile"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「fragile」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2121,quota,割り当て；定員,Access to quota remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,The UX designer documented the quota in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する割り当て、定員を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2122,optimism,楽観主義；楽観的,Optimism is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,The UX designer wrote a optimism note about the dashboard layout in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ダッシュボードレイアウトについて「楽観主義、楽観的」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2123,ambiguous,曖昧な,The evidence gathered in the study was ambiguous and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer wrote a ambiguous note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「曖昧な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2124,authentic,本物の；正真正銘の,A authentic and evidence-based approach to urban planning can help reduce inequality significantly.,証拠に基づいたアプローチは不平等を大幅に削減する上で役立つ可能性がある。,The UX designer documented the authentic in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する本物の、正真正銘のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2125,bulletin,公報；速報,Greater public awareness of bulletin is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the bulletin in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する公報、速報を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2126,outfit,服装；装備,Greater public awareness of outfit is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the outfit in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する服装、装備を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2127,customary,慣例の；通常の,The evidence gathered in the study was customary and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer documented the customary in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する慣例の、通常のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2129,invaluable,非常に貴重な,A invaluable research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,The UX designer wrote a invaluable note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「非常に貴重な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2130,conform,に従う；適合する,Conform is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,"The UX designer used the term ""conform"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「conform」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2131,abnormal,異常な,The government's initial response was widely criticised for being insufficiently abnormal and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer wrote a abnormal note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「異常な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2132,utterance,発言；話すこと,Effective management of utterance is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,"The UX designer used the term ""utterance"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「utterance」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2133,rotten,腐った；ひどい,The relationship between rotten and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the rotten in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する腐った、ひどいを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2134,pragmatic,実用的な；実際的な,The government's initial response was widely criticised for being insufficiently pragmatic and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer wrote a pragmatic note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「実用的な、実際的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2135,attachment,愛着；添付；付属品,The economic consequences of the policy change were attachment across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer documented the attachment in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する愛着、添付、付属品を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2136,superficial,表面的な；浅い,The study identified a superficial and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a superficial note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「表面的な、浅い」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2137,industrialise,を工業化する,Educators strive to industrialise critical thinking and digital literacy across all age groups.,教育者たちは全ての年齢層で批判的思考力とデジタルリテラシーの育成に努めている。,"The UX designer used the term ""industrialise"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「industrialise」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2138,integrate,統合する,The organisation is seeking to integrate equitable access to clean water in developing regions.,その組織は発展途上地域でのきれいな水への公平なアクセスを確保することを求めている。,"The UX designer used the term ""integrate"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「integrate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2139,segment,部分；区分,Researchers concluded that the initial findings were segment and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer documented the segment in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する部分、区分を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2140,conspicuous,目立つ；顕著な,The study identified a conspicuous and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,"The UX designer used the term ""conspicuous"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「conspicuous」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2141,casualty,死傷者；犠牲者,Researchers emphasise the growing significance of casualty in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,The UX designer documented the casualty in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する死傷者、犠牲者を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2142,faction,派閥；分派,"The debate over faction continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the faction in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する派閥、分派を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2143,textile,織物；繊維,Improving textile has become a central objective of international development organisations.,向上させることが国際開発機関の中心的な目標となっている。,The UX designer documented the textile in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する織物、繊維を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2145,testimony,証言；証拠,The relationship between testimony and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the testimony in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する証言、証拠を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2146,subsidy,補助金,A marked rise in subsidy has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the subsidy in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する補助金を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2147,juvenile,若者；未成年の,"The debate over juvenile continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the juvenile in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する若者、未成年のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2148,contractor,請負業者；契約者,Greater public awareness of contractor is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the contractor in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する請負業者、契約者を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2149,ironic,皮肉な,The study identified a ironic and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a ironic note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「皮肉な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2150,litter,ごみ；を散らかす,Researchers emphasise the growing significance of litter in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,"The UX designer used the term ""litter"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「litter」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2151,con,詐欺；反対の,"The debate over con continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the con in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する詐欺、反対のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2152,comprise,から成る；を構成する,Researchers collaborated internationally to comprise a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""comprise"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「comprise」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2153,resistant,耐性がある；抵抗力がある,Researchers concluded that the initial findings were resistant and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer wrote a resistant note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「耐性がある、抵抗力がある」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2154,descriptive,描写的な；説明的な,The government's initial response was widely criticised for being insufficiently descriptive and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer wrote a descriptive note about the dashboard layout in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ダッシュボードレイアウトについて「描写的な、説明的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2156,peg,くぎ；留め金,Access to peg remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,"The UX designer used the term ""peg"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「peg」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2157,deficiency,欠乏；不足,The consequences of inadequate deficiency are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the deficiency in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する欠乏、不足を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2158,drastic,抜本的な；徹底的な,Researchers concluded that the initial findings were drastic and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer wrote a drastic note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「抜本的な、徹底的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2159,tariff,関税；料金表,Advances in tariff have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,The UX designer documented the tariff in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する関税、料金表を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2160,mansion,大邸宅；マンション,A marked rise in mansion has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the mansion in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する大邸宅、マンションを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2161,recipient,受取人；受領者,The evidence gathered in the study was recipient and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer documented the recipient in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する受取人、受領者を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2163,crust,地殻；パンの耳,A marked rise in crust has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the crust in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する地殻、パンの耳を記録した。,初稿レビュー待ち,UX職務文脈にリライト
2164,flush,赤面する；すすぐ,Researchers flush longitudinal data to assess the long-term effects on public health.,研究者たちは公衆衛生への長期的影響を評価するため、縦断的データを分析した。,"The UX designer used the term ""flush"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「flush」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2165,filthy,汚い；不潔な,"The debate over filthy continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer wrote a filthy note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「汚い、不潔な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
2166,coincide,一致する,International organisations work together to coincide cooperation on climate adaptation.,国際機関は気候変動への適応に関する協力体制構築に向けて取り組んでいる。,"The UX designer used the term ""coincide"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「coincide」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2167,safeguard,を守る；保護手段,Access to safeguard remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,"The UX designer used the term ""safeguard"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「safeguard」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
2168,spacious,広々とした,The government's initial response was widely criticised for being insufficiently spacious and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer documented the spacious in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する広々としたを記録した。,初稿レビュー待ち,UX職務文脈にリライト
2169,disposition,気質；配置,A marked rise in disposition has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the disposition in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する気質、配置を記録した。,初稿レビュー待ち,UX職務文脈にリライト
