ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
1398,slender,,形,,IELTS VOCAB,細い；わずかな,The UX designer wrote a slender note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「細い、わずかな」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1399,tribe,,名/他,,IELTS VOCAB,部族；グループ,The UX designer documented the tribe in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する部族、グループを記録した。,,,,,★★☆,,,🟠 重要
1401,obey,,動/句,,IELTS VOCAB,に従う；服従する,"The UX designer used the term ""obey"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「obey」という語を使った。,,,,,★★☆,,,🟠 重要
1402,dip,,動/句,,IELTS VOCAB,を浸す；下がる；急落,"The UX designer used the term ""dip"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「dip」という語を使った。,,,,,★★☆,,,🟠 重要
1403,elementary,,形,,IELTS VOCAB,初歩の；基本的な,The UX designer wrote a elementary note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「初歩の、基本的な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1404,dusty,,名/他,,IELTS VOCAB,ほこりっぽい,The UX designer documented the dusty in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関するほこりっぽいを記録した。,,,,,★★☆,,,🟠 重要
1406,confront,,動/句,,IELTS VOCAB,直面する；立ち向かう,"The UX designer used the term ""confront"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「confront」という語を使った。,,,,,★★☆,,,🟠 重要
1407,rub,,動/句,,IELTS VOCAB,をこする；摩擦,"The UX designer used the term ""rub"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「rub」という語を使った。,,,,,★★☆,,,🟠 重要
1408,upward,,動/句,,IELTS VOCAB,上向きの；上昇する,"The UX designer used the term ""upward"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「upward」という語を使った。,,,,,★★☆,,,🟠 重要
1409,assert,,動/句,,IELTS VOCAB,を断言する；主張する,"The UX designer used the term ""assert"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「assert」という語を使った。,,,,,★★☆,,,🟠 重要
1410,particle,,名/他,,IELTS VOCAB,粒子；素粒子,The UX designer documented the particle in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する粒子、素粒子を記録した。,,,,,★★☆,,,🟠 重要
1411,triple,,名/他,,IELTS VOCAB,3倍の；3つの,"The UX designer used the term ""triple"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「triple」という語を使った。,,,,,★★☆,,,🟠 重要
1412,voyage,,名/他,,IELTS VOCAB,航海；旅,The UX designer documented the voyage in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する航海、旅を記録した。,,,,,★★☆,,,🟠 重要
1413,scholar,,名/他,,IELTS VOCAB,学者；奨学生,The UX designer documented the scholar in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する学者、奨学生を記録した。,,,,,★★☆,,,🟠 重要
1415,jealousy,,名/他,,IELTS VOCAB,嫉妬；妬み,The UX designer documented the jealousy in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する嫉妬、妬みを記録した。,,,,,★★☆,,,🟠 重要
1416,foam,,名/他,,IELTS VOCAB,泡；泡立つ,"The UX designer used the term ""foam"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「foam」という語を使った。,,,,,★★☆,,,🟠 重要
1417,herd,,名/他,,IELTS VOCAB,群れ；を集める,"The UX designer used the term ""herd"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「herd」という語を使った。,,,,,★★☆,,,🟠 重要
1418,markedly,,名/他,,IELTS VOCAB,著しく；明らかに,"The UX designer used the term ""markedly"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「markedly」という語を使った。,,,,,★★☆,,,🟠 重要
1419,flourish,,動/句,,IELTS VOCAB,繁栄する；栄える,"The UX designer used the term ""flourish"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「flourish」という語を使った。,,,,,★★☆,,,🟠 重要
1420,apt,,動/句,,IELTS VOCAB,適切な；〜しがちな,The UX designer wrote a apt note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「適切な、〜しがちな」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1422,deed,,名/他,,IELTS VOCAB,行為；証書,The UX designer documented the deed in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する行為、証書を記録した。,,,,,★★☆,,,🟠 重要
1423,prescription,,名/他,,IELTS VOCAB,処方箋；規則,The UX designer documented the prescription in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する処方箋、規則を記録した。,,,,,★★☆,,,🟠 重要
1425,headline,,名/他,,IELTS VOCAB,見出し；ヘッドライン,The UX designer documented the headline in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する見出し、ヘッドラインを記録した。,,,,,★★☆,,,🟠 重要
1426,famine,,形,,IELTS VOCAB,飢饉；深刻な食料不足,The UX designer wrote a famine note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「飢饉、深刻な食料不足」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1427,gloomy,,形,,IELTS VOCAB,暗い；憂鬱な,The UX designer wrote a gloomy note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「暗い、憂鬱な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1428,header,,名/他,,IELTS VOCAB,見出し；ヘッダー,The UX designer documented the header in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する見出し、ヘッダーを記録した。,,,,,★★☆,,,🟠 重要
1429,regulate,,動/句,,IELTS VOCAB,規制する,"The UX designer used the term ""regulate"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「regulate」という語を使った。,,,,,★★☆,,,🟠 重要
1430,dive,,名/他,,IELTS VOCAB,飛び込む；急降下,"The UX designer used the term ""dive"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「dive」という語を使った。,,,,,★★☆,,,🟠 重要
1431,limb,,名/他,,IELTS VOCAB,手足；枝,The UX designer documented the limb in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する手足、枝を記録した。,,,,,★★☆,,,🟠 重要
1432,disgust,,名/他,,IELTS VOCAB,嫌悪感；をうんざりさせる,"The UX designer used the term ""disgust"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「disgust」という語を使った。,,,,,★★☆,,,🟠 重要
1433,earnest,,形,,IELTS VOCAB,まじめな；真剣な,The UX designer wrote a earnest note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「まじめな、真剣な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1434,conductor,,名/他,,IELTS VOCAB,指揮者；車掌；導体,The UX designer documented the conductor in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する指揮者、車掌、導体を記録した。,,,,,★★☆,,,🟠 重要
1435,undergraduate,,名/他,,IELTS VOCAB,学部生；大学生,The UX designer documented the undergraduate in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する学部生、大学生を記録した。,,,,,★★☆,,,🟠 重要
1436,ripe,,名/他,,IELTS VOCAB,熟した；円熟した,The UX designer documented the ripe in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する熟した、円熟したを記録した。,,,,,★★☆,,,🟠 重要
1438,tomb,,名/他,,IELTS VOCAB,墓；墓石,The UX designer documented the tomb in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する墓、墓石を記録した。,,,,,★★☆,,,🟠 重要
1439,distribute,,動/句,,IELTS VOCAB,配布する；分配する,"The UX designer used the term ""distribute"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「distribute」という語を使った。,,,,,★★☆,,,🟠 重要
1440,muddy,,形,,IELTS VOCAB,泥だらけの；不明瞭な,The UX designer wrote a muddy note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「泥だらけの、不明瞭な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1441,circumstance,,名/他,,IELTS VOCAB,状況；事情,The UX designer documented the circumstance in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する状況、事情を記録した。,,,,,★★☆,,,🟠 重要
1442,anchor,,動/句,,IELTS VOCAB,いかり；固定する,"The UX designer used the term ""anchor"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「anchor」という語を使った。,,,,,★★☆,,,🟠 重要
1443,expose,,動/句,,IELTS VOCAB,さらす；暴露する,"The UX designer used the term ""expose"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「expose」という語を使った。,,,,,★★☆,,,🟠 重要
1444,govern,,動/句,,IELTS VOCAB,を統治する；支配する,"The UX designer used the term ""govern"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「govern」という語を使った。,,,,,★★☆,,,🟠 重要
1445,seize,,動/句,,IELTS VOCAB,を捕まえる；掌握する,"The UX designer used the term ""seize"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「seize」という語を使った。,,,,,★★☆,,,🟠 重要
1446,sting,,動/句,,IELTS VOCAB,を刺す；刺すような痛み,"The UX designer used the term ""sting"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「sting」という語を使った。,,,,,★★☆,,,🟠 重要
1447,spark,,名/他,,IELTS VOCAB,火花；を引き起こす,"The UX designer used the term ""spark"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「spark」という語を使った。,,,,,★★☆,,,🟠 重要
1448,resemble,,名/他,,IELTS VOCAB,似ている,The UX designer documented the resemble in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する似ているを記録した。,,,,,★★☆,,,🟠 重要
1449,hesitate,,動/句,,IELTS VOCAB,ためらう；躊躇する,"The UX designer used the term ""hesitate"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「hesitate」という語を使った。,,,,,★★☆,,,🟠 重要
1450,bloom,,名/他,,IELTS VOCAB,花咲く；開花,"The UX designer used the term ""bloom"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「bloom」という語を使った。,,,,,★★☆,,,🟠 重要
1451,sorrow,,名/他,,IELTS VOCAB,悲しみ；悲痛,The UX designer documented the sorrow in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する悲しみ、悲痛を記録した。,,,,,★★☆,,,🟠 重要
1452,multiply,,動/句,,IELTS VOCAB,を増やす,"The UX designer used the term ""multiply"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「multiply」という語を使った。,,,,,★★☆,,,🟠 重要
1454,endure,,動/句,,IELTS VOCAB,に耐える；持続する,"The UX designer used the term ""endure"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「endure」という語を使った。,,,,,★★☆,,,🟠 重要
1455,physician,,名/他,,IELTS VOCAB,医師；内科医,The UX designer documented the physician in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する医師、内科医を記録した。,,,,,★★☆,,,🟠 重要
1456,heal,,動/句,,IELTS VOCAB,を癒す；回復する,"The UX designer used the term ""heal"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「heal」という語を使った。,,,,,★★☆,,,🟠 重要
1457,fade,,名/他,,IELTS VOCAB,色あせる；消えていく,"The UX designer used the term ""fade"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「fade」という語を使った。,,,,,★★☆,,,🟠 重要
1458,discourage,,動/句,,IELTS VOCAB,を落胆させる；思いとどまらせる,"The UX designer used the term ""discourage"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「discourage」という語を使った。,,,,,★★☆,,,🟠 重要
1459,thrill,,名/他,,IELTS VOCAB,スリル；をわくわくさせる,"The UX designer used the term ""thrill"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「thrill」という語を使った。,,,,,★★☆,,,🟠 重要
1461,weed,,動/句,,IELTS VOCAB,雑草；を除草する,"The UX designer used the term ""weed"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「weed」という語を使った。,,,,,★★☆,,,🟠 重要
1463,flee,,動/句,,IELTS VOCAB,逃げる；逃亡する,"The UX designer used the term ""flee"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「flee」という語を使った。,,,,,★★☆,,,🟠 重要
1464,criticise,,動/句,,IELTS VOCAB,を批判する,"The UX designer used the term ""criticise"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「criticise」という語を使った。,,,,,★★☆,,,🟠 重要
1465,poisonous,,形,,IELTS VOCAB,有毒な,The UX designer wrote a poisonous note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「有毒な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1466,enclose,,動/句,,IELTS VOCAB,を囲む；同封する,"The UX designer used the term ""enclose"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「enclose」という語を使った。,,,,,★★☆,,,🟠 重要
1467,depart,,動/句,,IELTS VOCAB,出発する；去る,"The UX designer used the term ""depart"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「depart」という語を使った。,,,,,★★☆,,,🟠 重要
1468,bud,,名/他,,IELTS VOCAB,芽；つぼみ,"The UX designer used the term ""bud"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「bud」という語を使った。,,,,,★★☆,,,🟠 重要
1470,cheat,,名/他,,IELTS VOCAB,ずる；詐欺師；をだます,"The UX designer used the term ""cheat"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「cheat」という語を使った。,,,,,★★☆,,,🟠 重要
1471,crawl,,名/他,,IELTS VOCAB,はい回る；這う,The UX designer documented the crawl in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関するはい回る、這うを記録した。,,,,,★★☆,,,🟠 重要
1472,weaken,,動/句,,IELTS VOCAB,を弱める；弱くなる,"The UX designer used the term ""weaken"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「weaken」という語を使った。,,,,,★★☆,,,🟠 重要
1473,decorate,,動/句,,IELTS VOCAB,を飾る；装飾する,"The UX designer used the term ""decorate"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「decorate」という語を使った。,,,,,★★☆,,,🟠 重要
1474,inherit,,動/句,,IELTS VOCAB,を受け継ぐ；相続する,"The UX designer used the term ""inherit"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「inherit」という語を使った。,,,,,★★☆,,,🟠 重要
1475,athlete,,名/他,,IELTS VOCAB,運動選手；アスリート,The UX designer documented the athlete in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する運動選手、アスリートを記録した。,,,,,★★☆,,,🟠 重要
1477,explode,,動/句,,IELTS VOCAB,爆発する；急増する,"The UX designer used the term ""explode"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「explode」という語を使った。,,,,,★★☆,,,🟠 重要
1478,vain,,形,,IELTS VOCAB,うぬぼれた；無駄な,The UX designer wrote a vain note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「うぬぼれた、無駄な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1479,instruct,,動/句,,IELTS VOCAB,を指導する；命令する,"The UX designer used the term ""instruct"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「instruct」という語を使った。,,,,,★★☆,,,🟠 重要
1480,accuse,,動/句,,IELTS VOCAB,を告発する,"The UX designer used the term ""accuse"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「accuse」という語を使った。,,,,,★★☆,,,🟠 重要
1481,postpone,,動/句,,IELTS VOCAB,を延期する,"The UX designer used the term ""postpone"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「postpone」という語を使った。,,,,,★★☆,,,🟠 重要
1482,ancestor,,名/他,,IELTS VOCAB,祖先；先祖,The UX designer documented the ancestor in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する祖先、先祖を記録した。,,,,,★★☆,,,🟠 重要
1484,betray,,動/句,,IELTS VOCAB,を裏切る；漏らす,"The UX designer used the term ""betray"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「betray」という語を使った。,,,,,★★☆,,,🟠 重要
1485,weave,,動/句,,IELTS VOCAB,を織る；縫うように進む,"The UX designer used the term ""weave"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「weave」という語を使った。,,,,,★★☆,,,🟠 重要
1486,scatter,,動/句,,IELTS VOCAB,を散らばらせる；散乱,"The UX designer used the term ""scatter"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「scatter」という語を使った。,,,,,★★☆,,,🟠 重要
1487,vanish,,名/他,,IELTS VOCAB,消える；姿を消す,"The UX designer used the term ""vanish"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「vanish」という語を使った。,,,,,★★☆,,,🟠 重要
1488,pronounce,,動/句,,IELTS VOCAB,を発音する；宣告する,"The UX designer used the term ""pronounce"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「pronounce」という語を使った。,,,,,★★☆,,,🟠 重要
1489,starve,,動/句,,IELTS VOCAB,餓死する；飢える,"The UX designer used the term ""starve"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「starve」という語を使った。,,,,,★★☆,,,🟠 重要
1491,accomplish,,動/句,,IELTS VOCAB,達成する；成し遂げる,"The UX designer used the term ""accomplish"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「accomplish」という語を使った。,,,,,★★☆,,,🟠 重要
1492,imitate,,動/句,,IELTS VOCAB,をまねる；模倣する,"The UX designer used the term ""imitate"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「imitate」という語を使った。,,,,,★★☆,,,🟠 重要
1493,prolong,,動/句,,IELTS VOCAB,を延長する,"The UX designer used the term ""prolong"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「prolong」という語を使った。,,,,,★★☆,,,🟠 重要
1494,amuse,,動/句,,IELTS VOCAB,を楽しませる,"The UX designer used the term ""amuse"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「amuse」という語を使った。,,,,,★★☆,,,🟠 重要
1495,trash,,名/他,,IELTS VOCAB,ごみ；を捨てる,"The UX designer used the term ""trash"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「trash」という語を使った。,,,,,★★☆,,,🟠 重要
1496,embarrass,,動/句,,IELTS VOCAB,を当惑させる,"The UX designer used the term ""embarrass"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「embarrass」という語を使った。,,,,,★★☆,,,🟠 重要
1498,underlie,,形,,IELTS VOCAB,の基礎をなす；の下にある,"The UX designer used the term ""underlie"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「underlie」という語を使った。,,,,,★★☆,,,🟠 重要
1499,disappoint,,動/句,,IELTS VOCAB,を失望させる,"The UX designer used the term ""disappoint"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「disappoint」という語を使った。,,,,,★★☆,,,🟠 重要
1500,fasten,,動/句,,IELTS VOCAB,を固定する；締める,"The UX designer used the term ""fasten"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「fasten」という語を使った。,,,,,★★☆,,,🟠 重要
1501,provided,,動/句,,IELTS VOCAB,〜という条件で,The UX designer documented the provided in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関するという条件でを記録した。,,,,,★★☆,,,🟠 重要
1502,environmental,,名/他,,IELTS VOCAB,環境の,The UX designer documented the environmental in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する環境のを記録した。,,,,,★★☆,,,🟠 重要
1503,relevant,,動/句,,IELTS VOCAB,関連する；適切な,"The UX designer used the term ""relevant"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「relevant」という語を使った。,,,,,★★☆,,,🟠 重要
1504,currently,,名/他,,IELTS VOCAB,現在；今のところ,The UX designer documented the currently in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する現在、今のところを記録した。,,,,,★★☆,,,🟠 重要
1505,concept,,名/他,,IELTS VOCAB,概念；考え,The UX designer documented the concept in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する概念、考えを記録した。,,,,,★★☆,,,🟠 重要
1506,whereas,,動/句,,IELTS VOCAB,一方で；〜であるのに対して,The UX designer wrote a whereas note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「一方で、〜であるのに対して」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1507,noted,,形,,IELTS VOCAB,著名な；注目された,The UX designer wrote a noted note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「著名な、注目された」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1508,hence,,名/他,,IELTS VOCAB,それゆえ；ここから,The UX designer documented the hence in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関するそれゆえ、ここからを記録した。,,,,,★★☆,,,🟠 重要
1509,pension,,名/他,,IELTS VOCAB,年金,The UX designer documented the pension in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する年金を記録した。,,,,,★★☆,,,🟠 重要
1510,equivalent,,動/句,,IELTS VOCAB,同等の；相当する,"The UX designer used the term ""equivalent"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「equivalent」という語を使った。,,,,,★★☆,,,🟠 重要
1511,virtually,,形,,IELTS VOCAB,実質的に；ほとんど,The UX designer wrote a virtually note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「実質的に、ほとんど」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1513,sequence,,名/他,,IELTS VOCAB,順序；連続,The UX designer documented the sequence in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する順序、連続を記録した。,,,,,★★☆,,,🟠 重要
1514,revenue,,名/他,,IELTS VOCAB,収益；歳入,The UX designer documented the revenue in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する収益、歳入を記録した。,,,,,★★☆,,,🟠 重要
1515,voluntary,,形,,IELTS VOCAB,自発的な；任意の,The UX designer wrote a voluntary note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「自発的な、任意の」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1516,informed,,名/他,,IELTS VOCAB,情報を持った；知識のある,"The UX designer used the term ""informed"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「informed」という語を使った。,,,,,★★☆,,,🟠 重要
1517,lifespan,,名/他,,IELTS VOCAB,寿命；存続期間,The UX designer documented the lifespan in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する寿命、存続期間を記録した。,,,,,★★☆,,,🟠 重要
1518,subsequently,,名/他,,IELTS VOCAB,その後に；続いて,The UX designer documented the subsequently in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するその後に、続いてを記録した。,,,,,★★☆,,,🟠 重要
1520,comprehensive,,形,,IELTS VOCAB,包括的な；総合的な,The UX designer wrote a comprehensive note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「包括的な、総合的な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1521,adequate,,形,,IELTS VOCAB,適切な；十分な,The UX designer wrote a adequate note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「適切な、十分な」という意味合いのメモを書いた。,,,,,★★☆,,,🟠 重要
1522,regime,,名/他,,IELTS VOCAB,体制；政権,The UX designer documented the regime in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する体制、政権を記録した。,,,,,★★☆,,,🟠 重要
1523,scope,,名/他,,IELTS VOCAB,範囲；領域,The UX designer documented the scope in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する範囲、領域を記録した。,,,,,★★☆,,,🟠 重要
1524,personnel,,名/他,,IELTS VOCAB,人員；職員,The UX designer documented the personnel in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する人員、職員を記録した。,,,,,★★☆,,,🟠 重要
